state,participant,segment,duration_s,eda_mean,eda_std,eda_min,eda_max,eda_range,hr_mean,hr_std,hr_min,hr_max,hr_range,acc_mean,acc_std,bvp_mean,bvp_std,temp_mean,temp_std,ibi_mean,ibi_std,ibi_rmssd
STRESS,S05,2,112.0,15.573678075892857,0.6376159483551226,14.069564,16.784525,2.714960999999999,73.8157142857143,2.980611368939778,70.5,79.35,8.849999999999994,63.60161681380904,0.1739259061337228,0.09266601562500001,27.9900834160283,33.57964285714286,0.06023656595084901,0.8010057471264368,0.04903773730112571,0.03972905144940875
STRESS,S05,3,336.0,18.587111108630953,1.8600668427746208,12.926014,20.730267,7.804253000000001,72.43782738095237,5.38093280382224,65.7,83.63,17.929999999999993,64.3484580569673,1.1610064951966967,0.077787853422619,86.95302528549351,33.509226190476184,0.0645266373919061,0.8778248587570622,0.06662556412122583,0.05143266625774598
STRESS,S05,4,169.0,12.58144452218935,0.6826929864050653,11.191171,15.209964,4.018792999999999,80.6287573964497,4.186073585760751,75.15,87.63,12.47999999999999,62.20079142592673,0.25017261533330165,-0.14617603550295857,36.46152938909843,33.64899408284024,0.08014517131865913,0.748828125,0.07508844882193516,0.03188235979898918
STRESS,S05,5,227.0,13.96974902202643,0.6006600383233456,11.802273,15.036994,3.2347210000000004,67.47638766519823,2.225019366233061,65.0,74.75,9.75,63.80804025246149,1.2295433305924368,0.16473430616740073,69.26408075189208,33.74202643171806,0.018921102291806692,0.88671875,0.06920317867422038,0.05355293624463263
STRESS,S05,6,34.0,15.782209625,0.952530407615243,13.553219,17.633839,4.080619999999998,80.66470588235293,4.635123093291633,73.37,87.73,14.36,64.49255980761416,1.3759353584438148,-0.6131295955882351,109.43393277097454,33.77882352941177,0.01761762250808442,,,
STRESS,S05,7,61.0,16.165930106557376,0.2824752020841919,15.195679,16.85243,1.656750999999998,84.60131147540984,5.828988460852669,73.82,90.82,17.0,63.68385044317805,0.27753224044805974,0.2703253073770492,38.28878544431695,33.83409836065573,0.021832225330604305,0.8573803191489362,0.07283392905580925,0.05348543013207469
STRESS,S05,8,31.0,16.704025225806454,0.3166206341153052,15.835115,17.790152,1.955036999999999,73.66225806451614,0.7612710495100026,72.78,75.13,2.3499999999999943,64.88385657023711,1.6720647958934463,0.023765120967741752,136.16156535945217,33.86290322580645,0.021280545164477045,,,
STRESS,S05,9,45.0,16.446634916666667,0.19189112338198092,16.214367,17.15934,0.944973000000001,75.68200000000002,1.6845013769329162,72.78,77.77,4.989999999999995,63.39103087072447,0.13456348799706336,-0.8291527777777777,41.09116327909733,33.84333333333333,0.017763883459297747,0.8432112068965517,0.045597306231973465,0.049762269664303464
STRESS,S05,10,32.0,17.1672094296875,0.27405919670901757,16.49437,17.62487,1.1305000000000014,72.11625000000001,0.7120865028211102,71.43,74.22,2.789999999999992,64.95576361408168,0.8772006952970193,0.5065820312500002,100.90313864501513,33.86000000000001,0.015612494995993743,,,
STRESS,S06,0,193.0,0.8249921541450778,0.11998810739537767,0.629432,1.121433,0.4920009999999999,92.66601036269431,5.36350043651859,87.25,105.05,17.799999999999997,63.78222734956344,0.7811199601860765,0.06676408678756464,50.527627944677135,33.67155440414508,0.07789103850615489,0.6753280386740331,0.04127717426224634,0.028408104465197172
STRESS,S06,1,86.0,1.2884589331395349,0.39399960742395546,0.681963,2.435017,1.7530540000000001,94.82848837209302,3.7510524158706415,88.68,99.5,10.819999999999993,64.05627463603173,0.19155190506786068,0.011764171511628237,54.122996051860476,33.81127906976744,0.016051987606256125,0.6316598360655737,0.04181721380561992,0.0358013726168425
STRESS,S06,2,128.0,2.4555537226562505,0.24452657936521335,2.000984,3.167269,1.1662850000000002,96.93078125,4.800809113019225,90.05,102.27,12.219999999999999,63.928850721431736,0.18589102120539933,-0.048124999999999876,30.503688015450614,33.81476562499999,0.013402707501074274,0.6007238700564972,0.04962979941777572,0.025233066652685394
